Name,OsmId,Kind,HeightCm,BaseCm,HeightSource,CentroidX,CentroidY,BoxX,BoxY,BoxLengthCm,BoxWidthCm,YawDeg,AreaM2,NumVerts,Outline
B00186,265424440,yes,4350.0,0.0,tag:height,-8690.3,16246.3,-8087.3,16393.4,5972.3,1449.9,208.94,574.09,6,-11051.4 15583.0|-5827.6 18471.1|-5513.4 17909.5|-8663.9 16174.1|-8271.9 15463.0|-10349.6 14318.7
B00187,265424442,yes,5980.0,0.0,tag:height,-17380.7,15774.4,-17380.7,15774.4,2551.4,1151.6,119.0,293.79,4,-17495.6 17169.1|-16258.5 14937.9|-17265.8 14379.7|-18502.8 16610.9
B00188,265424447,yes,4270.0,0.0,tag:height,-17890.8,4706.3,-18081.3,4755.7,4771.6,3689.0,118.94,1602.53,6,-18540.8 1775.2|-19872.2 4182.9|-19190.4 4559.6|-20167.6 6327.2|-17622.3 7735.8|-15312.6 3560.5
B00189,265424453,yes,4600.0,0.0,tag:height,-3395.2,12535.2,-3426.2,12561.0,3705.3,1405.8,118.95,508.36,6,-4757.2 13942.0|-3706.7 14520.4|-1914.4 11280.1|-3143.7 10600.2|-4651.7 13324.6|-4470.7 13424.3
B00190,265424462,yes,4670.0,0.0,tag:height,-1161.8,21055.4,-1639.9,20936.7,5957.6,1539.4,28.88,694.69,6,-2017.4 21607.5|597.8 23047.3|1339.6 21701.1|-3876.5 18824.1|-4258.5 19518.3|-1657.7 20953.0
B00191,265424464,yes,6500.0,0.0,tag:height,-15484.7,16716.9,-15510.6,16628.6,2948.0,2870.3,209.0,799.3,6,-16421.8 15232.6|-17495.6 17169.1|-14917.0 18598.0|-13525.6 16088.1|-15480.1 15004.6|-15798.8 15578.0
B00192,265424467,yes,3100.0,0.0,tag:height,1975.4,16665.6,1158.7,15992.9,6081.6,5400.9,208.89,2023.95,8,-2808.2 16888.4|2516.6 19826.3|5125.1 15097.1|2057.9 13414.0|599.8 16050.6|956.3 16247.4|181.2 17652.6|-2434.0 16210.3
B00193,265424473,yes,5650.0,0.0,tag:height,-17655.0,13605.4,-17686.4,14434.5,4577.7,2997.8,119.0,701.35,6,-19421.2 16089.9|-17953.2 13439.7|-16016.5 14513.1|-15265.8 13159.3|-17887.7 11705.9|-20106.4 15709.9
B00194,265875646,yes,1200.0,0.0,estimate:default,-18191.5,21584.1,-18206.8,21598.7,3793.0,2992.7,118.87,1122.07,8,-20167.3 22683.1|-17916.3 23924.5|-17777.5 23654.2|-17665.3 23715.9|-15980.8 20660.4|-18601.6 19215.4|-20286.1 22271.8|-20020.7 22417.9
B00195,265932612,yes,1200.0,0.0,estimate:default,4777.3,8337.5,5241.6,8525.3,6046.8,5375.0,209.44,2578.58,17,8010.0 9768.3|8733.0 8490.5|6075.5 7022.0|6537.5 6170.7|3910.1 4733.4|1310.4 9392.5|5191.6 11583.1|5346.0 11305.3|5541.4 11415.1|6223.3 10336.6|6620.8 9770.8|6768.5 9855.3|6875.1 9666.9|6940.6 9704.1|7043.9 9520.8|7122.8 9565.6|7251.6 9335.9
B00196,283346493,hotel,3000.0,0.0,estimate:type=hotel,13648.7,-3693.6,13604.8,-3717.2,4463.6,3288.0,119.01,1385.8,8,13966.6 -979.6|16076.6 -4784.8|13454.7 -6231.5|13504.7 -6321.8|13249.3 -6466.2|11977.8 -4164.2|12208.8 -4049.3|11317.0 -2433.8
B00197,283346494,yes,10300.0,0.0,tag:height,13511.2,-2278.8,13513.8,-2274.7,1841.2,1307.1,298.91,238.31,6,13739.0 -1330.9|14445.3 -2609.5|14458.6 -2804.5|13385.9 -3394.8|12499.7 -1790.3|13544.7 -1205.9
B00198,283346495,yes,2600.0,0.0,tag:height,14165.4,-4489.0,13853.9,-4635.4,2832.5,2616.8,208.99,525.3,8,15675.7 -5005.3|13454.7 -6231.5|13504.7 -6321.8|13249.3 -6466.2|13019.4 -6046.5|13790.1 -5620.9|12756.2 -3747.8|14458.6 -2804.5
B00199,283346496,yes,1700.0,0.0,tag:height,14346.7,-4340.8,13589.1,-3732.6,4449.6,3248.5,119.05,639.47,11,16042.2 -4804.3|13454.7 -6231.5|13504.7 -6321.8|13249.3 -6466.2|13019.4 -6046.5|13790.1 -5620.9|12756.2 -3747.8|14606.3 -2720.1|14700.7 -2473.5|13894.5 -1018.5|13928.9 -999.0
B00200,283346499,yes,8000.0,0.0,tag:height,14133.2,-1950.0,14133.6,-1950.5,1272.3,98.7,298.97,12.51,4,13868.9 -1370.6|14484.1 -2482.8|14398.6 -2530.9|13782.3 -1417.9
B00201,283346501,yes,6800.0,0.0,tag:height,12438.3,-2861.5,12442.5,-2863.5,1849.9,315.4,299.21,57.28,4,12132.1 -1985.4|13021.6 -3596.7|12756.2 -3747.8|11853.4 -2133.2
B00202,283346502,yes,2660.0,2600.0,tag:height,15054.9,-3907.5,15056.6,-3910.8,2514.9,24.2,118.94,6.03,4,15675.7 -5005.3|15654.6 -5016.2|14437.5 -2816.4|14458.6 -2804.5
B00203,283346503,yes,8000.0,0.0,tag:height,12898.4,-2616.6,12898.4,-2616.6,1273.0,98.1,298.97,12.48,4,12633.0 -2036.1|13249.3 -3149.1|13163.8 -3197.2|12547.4 -2084.2
B00204,283346507,yes,2500.0,0.0,tag:height,12035.2,-3093.2,12032.1,-3093.0,1849.9,625.0,119.21,114.54,4,11853.4 -2133.2|12756.2 -3747.8|12208.8 -4049.3|11317.0 -2433.8
B00205,283346508,yes,1400.0,1300.0,tag:height,14991.1,-2869.4,15004.1,-2891.3,4352.7,42.4,299.05,17.83,4,16076.6 -4784.8|16042.2 -4804.3|13928.9 -999.0|13966.6 -979.6
B00206,283346509,yes,1800.0,1700.0,tag:height,14980.0,-2933.9,14967.0,-2912.0,4352.7,42.4,119.05,17.83,4,16042.2 -4804.3|16004.4 -4823.7|13894.5 -1018.5|13928.9 -999.0
